induction_title,induction_description,induction_is_active,induction_display_order,chapter_title,chapter_description,chapter_video_url,chapter_display_order,pass_percentage,question_text,question_type,question_options,question_correct_answer,question_display_order
Demo Induction,Demo induction covering safety basics,1,1,Chapter 1: Orientation,Overview and policies,https://example.com/video1,1,70,What is the primary safety rule?,single_choice,"Stay alert|Follow procedures|Ignore signs",Stay alert,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 1: Orientation,Overview and policies,https://example.com/video1,1,70,Who is your safety point of contact?,single_choice,"Supervisor|Security|HR",Supervisor,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 1: Orientation,Overview and policies,https://example.com/video1,1,70,What should you do in an emergency?,single_choice,"Call 911|Wait for manager|Do nothing",Call 911,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 1: Orientation,Overview and policies,https://example.com/video1,1,70,Which document lists safety policies?,single_choice,"Employee handbook|Timesheet|Invoice",Employee handbook,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 1: Orientation,Overview and policies,https://example.com/video1,1,70,How often to review safety training?,single_choice,"Annually|Never|Every 5 years",Annually,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 2: Facility Layout,Site map and exits,https://example.com/video2,2,70,Where are emergency exits located?,single_choice,"Marked exits|Only main door|None",Marked exits,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 2: Facility Layout,Site map and exits,https://example.com/video2,2,70,What color signs indicate exits?,single_choice,"Green|Red|Blue",Green,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 2: Facility Layout,Site map and exits,https://example.com/video2,2,70,Where is the assembly point?,single_choice,"North lot|Cafeteria|Lobby",North lot,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 2: Facility Layout,Site map and exits,https://example.com/video2,2,70,Who checks headcount at assembly?,single_choice,"Warden|IT|Finance",Warden,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 2: Facility Layout,Site map and exits,https://example.com/video2,2,70,What route to use if main exit blocked?,single_choice,"Alternate exit|Stay inside|Elevator",Alternate exit,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 3: PPE,Basics of PPE,https://example.com/video3,3,70,When is PPE mandatory?,single_choice,"In designated areas|Never|Only outdoors",In designated areas,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 3: PPE,Basics of PPE,https://example.com/video3,3,70,Which PPE for eye protection?,single_choice,"Safety glasses|Earplugs|Gloves",Safety glasses,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 3: PPE,Basics of PPE,https://example.com/video3,3,70,How to check PPE fit?,single_choice,"Follow manufacturer guide|Guess|Ignore",Follow manufacturer guide,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 3: PPE,Basics of PPE,https://example.com/video3,3,70,Where to store PPE?,single_choice,"Clean dry area|On floor|Outside",Clean dry area,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 3: PPE,Basics of PPE,https://example.com/video3,3,70,When to replace damaged PPE?,single_choice,"Immediately|Next year|Never",Immediately,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 4: Fire Safety,Fire risks and response,https://example.com/video4,4,70,What extinguisher for electrical fire?,single_choice,"CO2|Water|Foam",CO2,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 4: Fire Safety,Fire risks and response,https://example.com/video4,4,70,What is RACE?,single_choice,"Rescue Alarm Contain Extinguish|Run And Call Everyone|Random Action",Rescue Alarm Contain Extinguish,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 4: Fire Safety,Fire risks and response,https://example.com/video4,4,70,What is PASS?,single_choice,"Pull Aim Squeeze Sweep|Push Alert Stop Signal|Pause Assess Stop Spray",Pull Aim Squeeze Sweep,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 4: Fire Safety,Fire risks and response,https://example.com/video4,4,70,Evacuate using elevator?,single_choice,"No|Yes|Sometimes",No,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 4: Fire Safety,Fire risks and response,https://example.com/video4,4,70,Who declares all clear?,single_choice,"Fire warden|Any employee|Visitor",Fire warden,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 5: Electrical Safety,Safe handling,https://example.com/video5,5,70,Inspect cords for?,single_choice,"Frays|Color|Length",Frays,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 5: Electrical Safety,Safe handling,https://example.com/video5,5,70,Use water near electrical?,single_choice,"No|Yes|Sometimes",No,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 5: Electrical Safety,Safe handling,https://example.com/video5,5,70,Who can reset breakers?,single_choice,"Authorized staff|Anyone|Visitor",Authorized staff,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 5: Electrical Safety,Safe handling,https://example.com/video5,5,70,Report sparks to?,single_choice,"Supervisor|Friend|Ignore",Supervisor,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 5: Electrical Safety,Safe handling,https://example.com/video5,5,70,Use damaged tools?,single_choice,"No|Yes|If busy",No,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 6: Chemical Safety,Labels and SDS,https://example.com/video6,6,70,Where to find SDS?,single_choice,"SDS binder|Kitchen|Lobby",SDS binder,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 6: Chemical Safety,Labels and SDS,https://example.com/video6,6,70,What does GHS stand for?,single_choice,"Globally Harmonized System|General Health Safety|Green Hazard Scale",Globally Harmonized System,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 6: Chemical Safety,Labels and SDS,https://example.com/video6,6,70,Required PPE listed where?,single_choice,"SDS|Poster|Receipt",SDS,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 6: Chemical Safety,Labels and SDS,https://example.com/video6,6,70,How to store incompatible chemicals?,single_choice,"Separate|Together|Anywhere",Separate,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 6: Chemical Safety,Labels and SDS,https://example.com/video6,6,70,Spill response first step?,single_choice,"Alert|Ignore|Smoke",Alert,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 7: Ergonomics,Workstation setup,https://example.com/video7,7,70,Best keyboard position?,single_choice,"Elbows 90 deg|Arms straight|Above shoulders",Elbows 90 deg,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 7: Ergonomics,Workstation setup,https://example.com/video7,7,70,Monitor top at?,single_choice,"Eye level|Chin level|Above head",Eye level,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 7: Ergonomics,Workstation setup,https://example.com/video7,7,70,Take breaks every?,single_choice,"60 minutes|4 hours|Never",60 minutes,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 7: Ergonomics,Workstation setup,https://example.com/video7,7,70,Chair posture?,single_choice,"Back supported|Slouch|Lean forward",Back supported,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 7: Ergonomics,Workstation setup,https://example.com/video7,7,70,Lighting should be?,single_choice,"Balanced|Glare|Dim",Balanced,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 8: Slips Trips,Housekeeping,https://example.com/video8,8,70,Report spills to?,single_choice,"Facilities|Friend|Ignore",Facilities,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 8: Slips Trips,Housekeeping,https://example.com/video8,8,70,Keep walkways?,single_choice,"Clear|Cluttered|Blocked",Clear,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 8: Slips Trips,Housekeeping,https://example.com/video8,8,70,Use handrails on?,single_choice,"Stairs|Flat floor|Desk",Stairs,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 8: Slips Trips,Housekeeping,https://example.com/video8,8,70,Clean spills with?,single_choice,"Proper kit|Paper only|Ignore",Proper kit,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 8: Slips Trips,Housekeeping,https://example.com/video8,8,70,Footwear should be?,single_choice,"Non-slip|Open toe|Heels",Non-slip,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 9: Ladder Safety,Safe use,https://example.com/video9,9,70,Inspect ladders for?,single_choice,"Damage|Color|Brand",Damage,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 9: Ladder Safety,Safe use,https://example.com/video9,9,70,Maintain 3 points of?,single_choice,"Contact|View|Balance",Contact,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 9: Ladder Safety,Safe use,https://example.com/video9,9,70,Do not stand on?,single_choice,"Top step|Second step|Ground",Top step,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 9: Ladder Safety,Safe use,https://example.com/video9,9,70,Use ladder on?,single_choice,"Level surface|Loose boxes|Wet floor",Level surface,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 9: Ladder Safety,Safe use,https://example.com/video9,9,70,Secure extension ladders at?,single_choice,"Top and bottom|Only top|Only bottom",Top and bottom,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 10: Lockout Tagout,Energy control,https://example.com/video10,10,70,When to apply LOTO?,single_choice,"Before maintenance|After work|Never",Before maintenance,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 10: Lockout Tagout,Energy control,https://example.com/video10,10,70,Who removes a lock?,single_choice,"Person who applied|Any peer|Supervisor only",Person who applied,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 10: Lockout Tagout,Energy control,https://example.com/video10,10,70,Verify zero energy by?,single_choice,"Test|Assume|Ignore",Test,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 10: Lockout Tagout,Energy control,https://example.com/video10,10,70,Tags should be?,single_choice,"Legible|Optional|Hidden",Legible,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 10: Lockout Tagout,Energy control,https://example.com/video10,10,70,Stored energy must be?,single_choice,"Released|Ignored|Transferred",Released,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 11: First Aid,Basics,https://example.com/video11,11,70,Where is first aid kit?,single_choice,"Reception|Cafeteria|Parking",Reception,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 11: First Aid,Basics,https://example.com/video11,11,70,Who are first aiders?,single_choice,"Trained staff|Everyone|Visitors",Trained staff,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 11: First Aid,Basics,https://example.com/video11,11,70,When to call emergency services?,single_choice,"Serious injury|Minor cut|Never",Serious injury,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 11: First Aid,Basics,https://example.com/video11,11,70,Report injuries to?,single_choice,"Supervisor|Friend|Ignore",Supervisor,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 11: First Aid,Basics,https://example.com/video11,11,70,Use first aid kit for?,single_choice,"Minor injuries|Major surgery|Snacks",Minor injuries,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 12: Incident Reporting,Process,https://example.com/video12,12,70,Report near-misses?,single_choice,"Yes|No|Only injuries",Yes,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 12: Incident Reporting,Process,https://example.com/video12,12,70,Report timeframe?,single_choice,"Immediately|Next year|Never",Immediately,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 12: Incident Reporting,Process,https://example.com/video12,12,70,Use which form?,single_choice,"Incident form|Expense form|Travel form",Incident form,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 12: Incident Reporting,Process,https://example.com/video12,12,70,Who reviews reports?,single_choice,"Safety team|Random|Visitors",Safety team,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 12: Incident Reporting,Process,https://example.com/video12,12,70,Photos should be?,single_choice,"Clear|Blurred|None",Clear,5
Demo Induction,Demo induction covering safety basics,1,1,Chapter 13: Housekeeping,Clean work areas,https://example.com/video13,13,70,Trash disposed where?,single_choice,"Bins|Floor|Desk",Bins,1
Demo Induction,Demo induction covering safety basics,1,1,Chapter 13: Housekeeping,Clean work areas,https://example.com/video13,13,70,Cords managed how?,single_choice,"Tidy|Loose|Across aisle",Tidy,2
Demo Induction,Demo induction covering safety basics,1,1,Chapter 13: Housekeeping,Clean work areas,https://example.com/video13,13,70,Food stored?,single_choice,"Designated areas|Anywhere|Desks",Designated areas,3
Demo Induction,Demo induction covering safety basics,1,1,Chapter 13: Housekeeping,Clean work areas,https://example.com/video13,13,70,Clean spills?,single_choice,"Immediately|Later|Never",Immediately,4
Demo Induction,Demo induction covering safety basics,1,1,Chapter 13: Housekeeping,Clean work areas,https://example.com/video13,13,70,Keep exits?,single_choice,"Unblocked|Blocked|Hidden",Unblocked,5
